Yurt Adı	Şehir	İlçe	Tür	Kapasite

100. YIL ÖĞRENCİ YURDU	Tunceli	Tunceli/Merkez	Kız	—
12 ŞUBAT ÖĞRENCİ YURDU MÜDÜRLÜĞÜ	Kahramanmaraş	Onikişubat	Kız	0(344) 503-63-33
1453 ÖĞRENCİ YURDU	İstanbul	Esenyurt	Kız	0(212) 620-10-34
25 ARALIK ÖĞRENCİ YURDU MÜDÜRLÜĞÜ	Gaziantep	Şahinbey	Karma	—
5 TEMMUZ ÖĞRENCİ YURDU	Hatay	İskenderun	Kız	—
ABANA ÖĞRENCİ YURDU	Kastamonu	Abana	Erkek	—
ABDULLAH SABRİ EFENDİ ÖĞRENCİ YURDU	Zonguldak	Kozlu	Erkek	0(372) 220-09-95
ABDURRAHMAN GÜRSES ÖĞRENCİ YURDU	Sakarya	Hendek	Erkek	—
ABDURRAHMANGAZİ ÖĞRENCİ YURDU	Erzurum	Yakutiye	Kız	0(442) 502-02-63
ABDURRAHİM ARVASİ ÖĞRENCİ YURDU	Ağrı	Ağrı/Merkez	Kız	0(472) 215-92-99
ABDÜLKADİR GÜLLÜOĞLU ÖĞRENCİ YURDU	Gaziantep	Şehitkamil	Karma	0(342) 502-04-39
ABDÜRRAHİM MISRİ ÖĞRENCİ YURDU	Afyonkarahisar	Afyonkarahisar/Merkez	Erkek	0(272) 502-07-81
ADANA ÖĞRENCİ YURDU	Adana	Sarıçam	Erkek	—
ADIYAMAN YURDU	Adıyaman	Adıyaman/Merkez	Kız	—
ADNAN DEMİRTÜRK YURDU	Trabzon	Vakfıkebir	Karma	—
ADİLCEVAZ ÖĞRENCİ YURDU	Bitlis	Adilcevaz	Karma	—
ADİLE SULTAN ÖĞRENCİ YURDU	Çanakkale	Çanakkale/Merkez	Erkek	0(286) 218-11-58
AFYON YURDU	Afyonkarahisar	Afyonkarahisar/Merkez	Erkek	0(272) 212-46-42
AFYON-TINAZTEPE ÖĞRENCİ YURDU	Afyonkarahisar	Afyonkarahisar/Merkez	Erkek	0(272) 502-03-33
AFYON-ÇİĞİLTEPE KIZ ÖĞRENCİ YURDU	Afyonkarahisar	Afyonkarahisar/Merkez	Kız	—
AFİFE ÖĞRENCİ YURDU	Hakkâri	Hakkari/Merkez	Kız	0(438) 211-90-09
AFŞİN ÖĞRENCİ YURDU	Kahramanmaraş	Afşin	Karma	0(344) 511-21-50
AHMET BİCAN ÖĞRENCİ YURDU	Çanakkale	Biga	Erkek	0(286) 316-63-31
AHMET CEVDET PAŞA ÖĞRENCİ YURDU	Kırklareli	Kırklareli/Merkez	Erkek	0(288) 502-00-16
AHMET EFENDİ ÖĞRENCİ YURDU	Yozgat	Yozgat/Merkez	Erkek	0(354) 290-16-16
AHMET HAMDİ AKSEKİ ÖĞRENCİ YURDU	Antalya	Kepez	Erkek	—
AHMET KABAKLI ÖĞRENCİ YURDU	Elazığ	Elazığ/Merkez	Erkek	—
AHMET KUDDUSİ ÖĞRENCİ YURDU	Niğde	Bor	Erkek	—
AHMET TEVFİK İLERİ ÖĞRENCİ YURDU	Rize	Rize/Merkez	Erkek	—
AHMET YAŞAR EFENDİ YURDU	Trabzon	Ortahisar	Erkek	0(462) 502-02-98
AHMET ZİYAÜDDİN GÜMÜŞHANEVİ ÖĞRENCİ YURDU	Gümüşhane	Gümüşhane/Merkez	Erkek	0(456) 233-70-22
AKADEMİ ÖĞRENCİ YURDU	Konya	Selçuklu	Kız	0(332) 503-57-87
AKDAĞMADENİ YURDU	Yozgat	Akdağmadeni	Karma	0(354) 314-42-85
AKDENİZ YURDU	Antalya	Konyaaltı	Kız	0(242) 226-20-03
AKHİSAR ÖĞRENCİ YURDU	Manisa	Akhisar	Karma	—
AKKADIN HACI MUSTAFA TARMAN KIZ YURDU	İstanbul	Kadıköy	Kız	0(216) 567-23-39
AKSARAY ERKEK YURDU	Aksaray	Aksaray/Merkez	Erkek	0(382) 215-89-67
AKSARAY KIZ YURDU	Aksaray	Aksaray/Merkez	Kız	0(382) 505-01-05
AKSARAY-CEMALEDDİN AKSARAY-İ ÖGRENCİ YURDU	Aksaray	Aksaray/Merkez	Kız	0(382) 215-01-05
AKYAZI ÖĞRENCİ YURDU	Sakarya	Akyazı	Karma	0(264) 418-10-15
AKÇA HATUN ÖĞRENCİ YURDU MÜDÜRLÜĞÜ	Yalova	Yalova/Merkez	Kız	0(226) 502-05-63
AKÇAABAT-FATİH YURDU	Trabzon	Akçaabat	Erkek	—
AKÇAKOCA YURDU	Düzce	Akçakoca	Karma	0(380) 611-49-85
AKÖREN ÖĞRENCİ YURDU	Konya	Akören	Karma	0(332) 461-24-22
AKŞEHİR YURDU	Konya	Akşehir	Kız	0(332) 824-85-85
ALAADDİN KEYKUBAT YURDU	Antalya	Alanya	Kız	—
ALAADDİN YURDU	Konya	Selçuklu	Erkek	0(332) 241-01-17
ALACA ÖĞRENCİ YURDU	Çorum	Alaca	Karma	0(364) 502-09-45
ALANYA TERKEN HATUN ÖĞRENCİ YURDU	Antalya	Alanya	Kız	—
ALANYA ÖĞRENCİ YURDU	Antalya	Alanya	Erkek	—
ALAPLI ÖĞRENCİ YURDU	Zonguldak	Alaplı	Karma	0(372) 378-21-69
ALAÇAM ÖĞRENCİ YURDU	Samsun	Alaçam	Karma	—
ALAŞEHİR YURDU	Manisa	Alaşehir	Karma	0(236) 653-71-38
ALUCRA YURDU	Giresun	Alucra	Karma	0(454) 777-00-07
ALİ FUAT BAŞGİL ÖĞRENCİ YURDU	Samsun	Atakum	Erkek	—
ALİ FUAT CEBESOY ÖĞRENCİ YURDU	Kocaeli	İzmit	Erkek	0(262) 325-8850
ALİ PAŞA ÖĞRENCİ YURDU	Tokat	Tokat/Merkez	Karma	0(356) 229-10-74
ALİ ULVİ KURUCU ÖĞRENCİ YURDU	Konya	Selçuklu	Kız	0(332) 261-05-61
ALİME HATUN ÖĞRENCİ YURDU	Aksaray	Aksaray/Merkez	Kız	0(382) 216-17-01
ALİYA İZZETBEGOVİÇ ÖĞRENCİ YURDU	İstanbul	Maltepe	Kız	0(216) 766-44-31
ALİYE İZZET BEGOVİÇ ÖĞRENCİ YURDU	Düzce	Düzce/Merkez	Erkek	0(380) 526-10-05
AMASYA YURDU	Amasya	Amasya/Merkez	Erkek	—
AMASYA-YEŞİLIRMAK YURDU	Amasya	Amasya/Merkez	Kız	0(358) 252-77-84
AMİNE HATUN ÖĞRENCİ YURDU	Van	Tuşba	Kız	—
ANADOLU YURDU	Konya	Selçuklu	Kız	—
ANAMUR ÖĞRENCİ YURDU	Mersin	Anamur	Karma	—
ANKARA HACI BAYRAM VELİ YURDU	Ankara	Çankaya	Kız	—
ANTAKYA YURDU	Hatay	Antakya	Kız	0(326) 267-31-17
ARABAN ÖĞRENCİ YURDU	Gaziantep	Araban	Kız	—
ARAPGİR YURDU	Malatya	Arapgir	Karma	0(422) 811-24-25
ARDAHAN YURDU	Ardahan	Ardahan/Merkez	Kız	0(478) 211-59-66
ARDEŞEN ÖĞRENCİ YURDU	Rize	Ardeşen	Karma	0(464) 715-19-88
ARSLAN BEY ÖĞRENCİ YURDU	Kütahya	Tavşanlı	Karma	0(274) 614-56-26
ARTOVA ÖĞRENCİ YURDU	Tokat	Artova	Karma	—
ARTVİN YURDU	Artvin	Artvin/Merkez	Erkek	0(466) 212-81-58
ARİF NİHAT ASYA ÖĞRENCİ YURDU	Sakarya	Serdivan	Erkek	—
ASIM'IN NESLİ ÖĞRENCİ YURDU	Burdur	Burdur/Merkez	Erkek	0(248) 277-20-60
ASİYE HATUN ÖĞRENCİ YURDU	Karabük	Karabük/Merkez	Kız	0(370) 433-44-49
ATABEY YURDU	Isparta	Atabey	Karma	0(246) 271-30-31
ATAKUM YURDU(SAMSUN)	Samsun	Atakum	Erkek	0(362) 437-98-63
ATATÜRK ÖĞRENCİ YURDU	İstanbul	Zeytinburnu	Kız	0(212) 546-23-36
ATATÜRK(İNCİRALTI) YURDU	İzmir	Balçova	Erkek	0(232) 259-01-12
AVANOS ÖĞRENCİ YURDU	Nevşehir	Avanos	Karma	0(384) 511-27-62
AVCILAR-ATATÜRK KIZ YURDU	İstanbul	Avcılar	Kız	0(212) 421-33-55
AYANCIK ÖĞRENCİ YURDU	Sinop	Ayancık	Karma	0(368) 613-46-32
AYAŞ ÖĞRENCİ YURDU	Ankara	Ayaş	Karma	—
AYBÜKE ÖĞRETMEN YURDU	Iğdır	Iğdır/Merkez	Kız	—
AYDER ÖĞRENCİ YURDU	Rize	Rize/Merkez	Kız	—
AYDIN-ADNAN MENDERES ÖĞRENCİ YURDU	Aydın	Efeler	Erkek	—
AYDOĞAN AYDIN ÖĞRENCİ YURDU	Tokat	Tokat/Merkez	Erkek	0(356) 252-16-51
AYHAN SONGAR ÖĞRENCİ YURDU	Balıkesir	Bandırma	Erkek	0(266) 715-20-04
AYVALIK ÖĞRENCİ YURDU	Balıkesir	Ayvalık	Karma	0(266) 331-06-00
AYŞE HAFSA SULTAN ÖĞRENCİ YURDU	Manisa	Yunusemre	Erkek	0(236) 246-71-01
AYŞE HÜMAŞAH SULTAN ÖĞRENCİ YURDU	Nevşehir	Nevşehir/Merkez	Kız	—
AYŞE HÜMEYRA ÖKTEN ÖĞRENCİ YURDU	Sakarya	Serdivan	Kız	0(264) 502-10-00
AZİZ HÜSEYİN GÖKÇE ÖĞRENCİ YURDU	Giresun	Keşap	Karma	0(454) 666-22-22
AZİZ SANCAR ÖĞRENCİ YURDU	Mardin	Midyat	Karma	—
AZİZİYE ÖĞRENCİ YURDU	Erzurum	Aziziye	Erkek	0(442) 328-00-08
AĞLARBABA ÖĞRENCİ YURDU	Bayburt	Bayburt/Merkez	Kız	0(458) 250-18-67
AĞRI YURDU	Ağrı	Ağrı/Merkez	Kız	0(472) 215-26-37
AĞRI-AHMED-İ HANİ ÖĞRENCİ YURDU	Ağrı	Ağrı/Merkez	Erkek	0(472) 215-30-56
AİŞE ANA ÖĞRENCİ YURDU	Karabük	Safranbolu	Kız	0(370) 502-08-18
AİŞE SIDDIKA ÖĞRENCİ YURDU	Van	Tuşba	Erkek	0(432) 225-11-69
AŞKALE YURDU	Erzurum	Aşkale	Karma	—
BABAESKİ ÖĞRENCİ YURDU	Kırklareli	Babaeski	Kız	0(288) 502-00-24
BACIM SULTAN ÖĞRENCİ YURDU	Afyonkarahisar	Afyonkarahisar/Merkez	Kız	0(272) 228-15-21
BAFRA MİLLİ PİYANGO YURDU	Samsun	Alaçam	Karma	—
BAHARZADE FERİDE HANIM ÖĞRENCİ YURDU	Kastamonu	Kastamonu/Merkez	Kız	—
BAHÇEKÖY ÖĞRENCİ YURDU	İstanbul	Sarıyer	Erkek	0(212) 223-04-68
BAHÇELİEVLER YENİBOSNA ÖĞRENCİ YURDU	İstanbul	Bahçelievler	Kız	0(212) 803-12-55
BAKIRÇAY ERKEK ÖĞRENCİ YURDU	İzmir	Menemen	Erkek	—
BAKIRÇAY KIZ ÖĞRENCİ YURDU	İzmir	Menemen	Kız	—
BALA HATUN ÖĞRENCİ YURDU	Eskişehir	Odunpazarı	Kız	0(222) 239-66-87
BALIKESİR YURDU	Balıkesir	Bigadiç	Kız	0(266) 502-41-12
BALLICA ÖĞRENCİ YURDU	Tokat	Tokat/Merkez	Kız	0(356) 250-00-01
BANDIRMA ÖĞRENCİ YURDU	Balıkesir	Bandırma	Kız	0(266) 721-30-88
BARBAROS HAYRETTİN PAŞA YURT MÜDÜRLÜĞÜ	İzmir	Buca	Erkek	—
BARTIN YURDU	Bartın	Bartın/Merkez	Kız	0(378) 228-37-27
BARTIN ÇEŞM-İ CİHAN ÖĞRENCİ YURDU (YENİ)	Bartın	Bartın/Merkez	Kız	—
BATIKENT ERGAZİ YURDU	Ankara	Yenimahalle	Kız	—
BATMAN KIZ ÖĞRENCİ YURDU	Batman	Batman/Merkez	Kız	0(488) 231-00-52
BATTALGAZİ ÖĞRENCİ YURDU	Malatya	Battalgazi	Kız	0(422) 311-11-45
BAYAT ÖĞRENCİ YURDU	Afyonkarahisar	Afyonkarahisar/Merkez	Karma	0(272) 491-33-15
BAYBURT ÖĞRENCİ YURDU	Bayburt	Bayburt/Merkez	Erkek	—
BAYRAKLI ÖĞRENCİ YURDU	İzmir	Bayraklı	Kız	—
BAĞLICA ÖĞRENCİ YURDU	Ankara	Etimesgut	Kız	0(312) 234-20-09
BAŞHİSAR ÖĞRENCİ YURDU	Nevşehir	Ürgüp	Erkek	—
BEDİÜZZAMAN SAİD NURSİ ÖĞRENCİ YURDU	Isparta	Isparta/Merkez	Kız	0(246) 502-31-21
BEKİLLİ YURDU	Denizli	Bekilli	Karma	0(258) 791-28-11
BERGAMA ÖĞRENCİ YURDU	İzmir	Bergama	Karma	0(232) 202-40-60
BERİN MENDERES ÖĞRENCİ YURDU	Aydın	Efeler	Kız	0(256) 502-47-05
BESNİ-SERVİ M.ERDEMOĞLU YURDU	Adıyaman	Besni	Karma	0(416) 311-05-11
BEYDAĞI ÖĞRENCİ YURDU	Malatya	Battalgazi	Erkek	0(422) 371-16-71
BEYHEKİM ÖĞRENCİ YURDU	Konya	Selçuklu	Kız	—
BEYPAZARI ÖĞRENCİ YURDU	Ankara	Beypazarı	Karma	0(312) 763-34-38
BEYTEPE ÖĞRENCİ YURDU	Ankara	Çankaya	Kız	0(501) 704-73-78
BEYŞEHİR YURDU	Konya	Beyşehir	Kız	—
BEZM-İ ALEM VALİDE SULTAN ÖĞRENCİ YURDU	Antalya	Konyaaltı	Kız	0(242) 505-89-33
BEŞ OCAK ÖĞRENCİ YURDU	Adana	Sarıçam	Kız	0(322) 503-90-85
BEŞEVLER ÖĞRENCİ YURDU	Ankara	Yenimahalle	Kız	0(312) 213-31-47
BEŞMİNARE ÖĞRENCİ YURDU	Bitlis	Bitlis/Merkez	Kız	0(434) 226-26-04
BEŞTEPE YURDU	Ankara	Yenimahalle	Kız	0(312) 212-54-99
BEŞİKDÜZÜ ÖĞRENCİ YURDU	Trabzon	Beşikdüzü	Karma	0(462) 871-21-16
BEŞİKTAŞ ÖĞRENCİ YURDU	İstanbul	Beşiktaş	Kız	0(212) 890-26-79
BOLU GÖLKÖY ÖĞRENCİ YURDU	Bolu	Bolu/Merkez	Kız	0(374) 253-53-31
BOLU İZZET BAYSAL ÖĞRENCİ YURDU	Bolu	Bolu/Merkez	Kız	—
BOLU-ABANT ÖĞRENCİ YURDU	Bolu	Bolu/Merkez	Kız	0(374) 270-12-35
BOLVADİN KIZ ÖĞRENCİ YURDU	Afyonkarahisar	Bolvadin	Kız	0(272) 611-33-88
BOLVADİN ÖĞRENCİ YURDU	Afyonkarahisar	Bolvadin	Erkek	0(272) 612-67-71
BOR YURDU	Niğde	Bor	Kız	0(388) 311-66-90
BORNOVA KIZ ÖĞRENCİ YURDU	İzmir	Bornova	Kız	—
BORNOVA ÖĞRENCİ YURDU	İzmir	Bornova	Erkek	—
BOYABAT KIZ ÖĞRENCİ YURDU	Sinop	Boyabat	Kız	—
BOYABAT ÖĞRENCİ YURDU	Sinop	Boyabat	Erkek	—
BOZKIR-Y.Ö.KYK MUSTAFA SUNA-ÖZ ÖĞRENCİ YURDU	Konya	Bozkır	Karma	—
BOZOK ÖĞRENCİ YURDU	Yozgat	Yozgat/Merkez	Erkek	0(354) 502-00-33
BUCA KIZ YURDU	İzmir	Buca	Kız	—
BUCAK ÖĞRENCİ YURDU	Burdur	Bucak	Kız	0(248) 325-00-79
BULDAN ÖĞRENCİ YURDU	Denizli	Buldan	Karma	0(258) 431-31-11
BURDUR YURDU	Burdur	Burdur/Merkez	Karma	0(248) 234-08-94
BURHANİYE ÖĞRENCİ YURDU	Balıkesir	Burhaniye	Kız	0(266) 412-11-17
BURSA EMİR SULTAN ÖĞRENCİ YURDU	Bursa	Nilüfer	Erkek	—
BÜYÜK SELÇUKLU YURDU	Konya	Selçuklu	Erkek	0(332) 502-64-84
BİGA ÖĞRENCİ YURDU	Çanakkale	Biga	Kız	0(286) 335-8883
BİGADİÇ ÖĞRENCİ YURDU	Balıkesir	Bigadiç	Kız	0(266) 614-10-51
BİLAL-İ HABEŞİ ÖĞRENCİ YURDU	Kilis	Kilis/Merkez	Erkek	0(348) 813-10-37
BİLECİK HALİME HATUN ÖĞRENCİ YURDU	Bilecik	Bilecik/Merkez	Kız	—
BİLECİK YURDU	Bilecik	Bilecik/Merkez	Kız	—
BİNGÖL ERKEK ÖĞRENCİ YURDU	Bingöl	Bingöl/Merkez	Erkek	0(426) 213-89-67
BİNGÖL KIZ ÖĞRENCİ YURDU	Bingöl	Bingöl/Merkez	Kız	0(426) 214-17-11
BİRUNİ ÖĞRENCİ YURDU	Denizli	Pamukkale	Kız	0(258) 213-03-41
BİTLİS ERKEK ÖĞRENCİ YURDU	Bitlis	Bitlis/Merkez	Erkek	0(434) 246-89-39
BİTLİS KIZ ÖĞRENCİ YURDU	Bitlis	Bitlis/Merkez	Kız	0(434) 228-30-23
CAHİT ZARİFOĞLU ÖĞRENCİ YURDU	Düzce	Konuralp	Erkek	0(380) 502-05-30
CANFEDA HATUN ÖĞRENCİ YURDU	Kocaeli	İzmit	Kız	0(262) 332-32-29
CANİK ERKEK ÖĞRENCİ YURDU	Samsun	Canik	Erkek	0(362) 502-56-60
CANİK ÖĞRENCİ YURDU	Samsun	Canik	Kız	—
CEBECİ ERKEK YURDU	Ankara	Çankaya	Erkek	0(312) 563-03-31
CEBECİ SİTE ÖĞRENCİ YURDU	Ankara	Mamak	Kız	0(312) 514-49-21
CEBELİBEREKET ÖĞRENCİ YURDU	Osmaniye	Osmaniye/Merkez	Erkek	—
CEMAL SAFİ ÖĞRENCİ YURDU	Samsun	Atakum	Erkek	—
CEMİL MERİÇ ÖĞRENCİ YURDU	Hatay	Antakya	Erkek	—
CERRAH MEHMET PAŞA ÖĞRENCİ YURDU	İstanbul	Avcılar	Erkek	0(212) 877-44-81
CEYHAN YURDU	Adana	Ceyhan	Karma	0(322) 612-24-51
CEZERİ ÖĞRENCİ YURDU	Şırnak	Şırnak/Merkez	Kız	—
CUMHURİYET ÖĞRENCİ YURDU	Eskişehir	Tepebaşı	Kız	0(222) 230-18-96
CİHANBEYLİ ÖĞRENCİ YURDU	Konya	Cihanbeyli	Karma	0(332) 673-11-25
CİHANNÜMA ÖĞRENCİ YURDU	İzmir	Çiğli	Kız	0(232) 329-94-20
DAMLATAŞ YURDU	Antalya	Alanya	Erkek	—
DANİŞMEND GAZİ ÖĞRENCİ YURDU	Muş	Muş/Merkez	Karma	0(436) 212-13-50
DARÜLACEZE ÖĞRENCİ YURDU	İstanbul	Şişli	Kız	0(212) 741-56-97
DEDE KORKUT ÖĞRENCİ YURDU	Bayburt	Bayburt/Merkez	Erkek	0(458) 211-49-67
DEMİRCİ YURDU	Manisa	Demirci	Karma	0(236) 462-46-65
DEREPAZARI KAPTAN ARİF BAYRAKTAR ÖĞRENCİ YURDU	Rize	Derepazarı	Erkek	0(464) 311-25-81
DESTİNE HATUN ÖĞRENCİ YURDU	Afyonkarahisar	Afyonkarahisar/Merkez	Kız	0(272) 228-12-48
DEVELİ YURDU	Kayseri	Develi	Karma	0(352) 621-01-31
DEVLET HATUN ÖĞRENCİ YURDU	Rize	Rize/Merkez	Kız	—
DEVREK SOS.YAR.DAY.VAK. ÖGRENCİ YURDU	Zonguldak	Devrek	Karma	0(372) 505-02-12
DIŞKAPI ÖĞRENCİ YURDU	Ankara	Altındağ	Kız	0(312) 517-33-54
DOĞAN ASLAN BEY ÖĞRENCİ YURDU	Eskişehir	Tepebaşı	Erkek	0(222) 323-68-60
DOĞUBAYAZIT YURDU	Ağrı	Doğubayazıt	Kız	—
DR. SADIK AHMET ÖĞRENCİ YURDU	Tekirdağ	Süleymanpaşa	Erkek	—
DUMLUPINAR ÖĞRENCİ YURDU	Kütahya	Kütahya/Merkez	Kız	—
DURSUNBEY ÖĞRENCİ YURDU	Balıkesir	Dursunbey	Karma	0(266) 662-14-84
DÖRTYOL ÖĞRENCİ YURDU	Hatay	Dörtyol	Karma	—
DÜZCE AVNİ AKYOL YURDU	Düzce	Düzce/Merkez	Erkek	0(380) 524-74-96
DÜZCE-KONURALP ÖĞRENCİ YURDU	Düzce	Düzce/Merkez	Kız	0(380) 542-13-57
DİLŞAD HATUN ÖĞRENCİ YURDU	Yalova	Yalova/Merkez	Kız	—
DİNAR ÖĞRENCİ YURDU	Afyonkarahisar	Dinar	Karma	0(272) 353-50-59
DİVRİĞİ PROF. DR. MAHİR TEVRÜZ ÖĞRENCİ YURDU	Sivas	Divriği	Karma	0(346) 418-41-81
DİYARBAKIR-SELAHATTİN EYYUBİ ÖĞRENCİ YURDU MÜDÜRLÜĞÜ	Diyarbakır	Sur	Erkek	0(412) 248-84-96
EDİRNE ERKEK ÖĞRENCİ YURDU	Edirne	Edirne/Merkez	Erkek	—
EDİRNE KIZ ÖĞRENCİ YURDU	Edirne	Edirne/Merkez	Kız	0(284) 236-44-48
EDİRNEKAPI KIZ ÖĞRENCİ YURDU	İstanbul	Fatih	Kız	0(212) 534-86-33
EFE AYŞE ÖĞRENCİ YURDU MÜDÜRLÜĞÜ	Aydın	Kuşadası	Karma	—
EGE KIZ ÖĞRENCİ YURDU	İzmir	Bornova	Kız	—
EGE ÖĞRENCİ YURDU	İzmir	Bornova	Erkek	—
EHLİBEYT ÖĞRENCİ YURDU	Tunceli	Tunceli/Merkez	Karma	0(428) 502-52-09
