Yurt Adı	Şehir	İlçe	Tür	Kapasite
SEBEN İZZET BAYSAL MESLEK YÜKSEKOKULU (MYO) ÖĞRENCİ YURDU	Bolu	Seben	Karma	—
SEDEFKAR MEHMED AĞA ÖĞRENCİ YURDU	Edirne	Edirne/Merkez	Kız	—
SELMAN-I FARİSİ ÖĞRENCİ YURDU	Iğdır	Iğdır/Merkez	Erkek	—
SELİMİYE YURDU	Edirne	Edirne/Merkez	Kız	0(284) 235-77-02
SERHAT ÖĞRENCİ YURDU MÜDÜRLÜĞÜ	Kars	Kars/Merkez	Kız	0(474) 213-60-98
SERİK ÖĞRENCİ YURDU	Antalya	Serik	Karma	0(242) 504-00-32
SEYDİŞEHİR YURDU	Konya	Seydişehir	Karma	—
SEYYİD BURHANEDDİN ÖĞRENCİ YURDU	Kayseri	Talas	Erkek	—
SEYYİD BİLAL ÖĞRENCİ YURDU	Batman	Batman/Merkez	Erkek	0(488) 213-71-01
SEYYİD FEHİM ARVASİ YURDU	Van	Tuşba	Kız	0(432) 225-15-19
SEYYİD VAKKAS ÖĞRENCİ YURDU	Giresun	Giresun/Merkez	Erkek	0(454) 213-14-15
SEYYİD İBRAHİM BİLAL ÖĞRENCİ YURDU	Sinop	Sinop/Merkez	Kız	0(368) 271-51-34
SEYYİDE NEFİSE ÖĞRENCİ YURDU	Bolu	Bolu/Merkez	Kız	0(374) 253-42-20
SEYİT AVŞAR ÖĞRENCİ YURDU	Bolu	Bolu/Merkez	Erkek	0(374) 218-25-20
SOMA ÖĞRENCİ YURDU	Manisa	Soma	Karma	0(236) 612-21-55
SORGUN ÖĞRENCİ YURDU	Yozgat	Sorgun	Karma	—
SOĞUKSU ÖĞRENCİ YURDU	Karabük	Karabük/Merkez	Kız	0(370) 412-11-43
SULTAN ALPARSLAN ÖĞRENCİ YURDU	Muş	Muş/Merkez	Kız	0(436) 213-02-51
SULTAN BABA ÖĞRENCİ YURDU	Kocaeli	Kartepe	Kız	0(262) 353-49-62
SULTAN BAYEZİD ÖĞRENCİ YURDU	Amasya	Amasya/Merkez	Erkek	0(358) 242-08-09
SULTAN DİVANİ ÖĞRENCİ YURDU	Afyonkarahisar	Afyonkarahisar/Merkez	Erkek	0(272) 228-10-03
SULTAN FAHRİYE ÖĞRENCİ YURDU	Bayburt	Bayburt/Merkez	Kız	0(458) 250-18-69
SULTAN I. KILIÇARSLAN ÖĞRENCİ YURDU	Niğde	Niğde/Merkez	Kız	0(388) 225-45-99
SULTAN II. KILIÇARSLAN ÖĞRENCİ YURDU	Niğde	Niğde/Merkez	Kız	—
SULTAN II.MURAT ÖĞRENCİ YURDU	Edirne	Edirne/Merkez	Erkek	0(284) 226-03-83
SULTAN MESUD ÖĞRENCİ YURDU(yeni)	Aksaray	Aksaray/Merkez	Erkek	0(382) 216-15-53
SULTAN VELED ÖĞRENCİ YURDU	Konya	Karapınar	Karma	—
SULTAN ÇELEBİ MEHMET YURT MÜDÜRLÜĞÜ	Edirne	Edirne/Merkez	Erkek	0(284) 235-27-40
SULTANHİSAR ÖĞRENCİ YURDU	Aydın	Sultanhisar	Karma	0(256) 351-34-44
SULUOVA ÖĞRENCİ YURDU	Amasya	Suluova	Kız	0(358) 417-00-64
SUNGURLU ÖĞRENCİ YURDU	Çorum	Sungurlu	Karma	0(364) 311-19-35
SUŞEHRİ YURDU	Sivas	Suşehri	Karma	0(346) 311-50-02
SÖĞÜTLÜ ÖĞRENCİ YURDU	Trabzon	Akçaabat	Erkek	0(462) 248-49-51
SÜLEYMAN BİN HALİD ÖĞRENCİ YURDU	Diyarbakır	Bağlar	Kız	0(412) 502-97-18
SÜLEYMAN ÇELEBİ ÖĞRENCİ YURDU	Bursa	Nilüfer	Erkek	0(224) 504-25-19
SÜLEYMAN ŞAH ÖĞRENCİ YURDU	Van	Tuşba	Erkek	0(432) 225-18-77
SÜLEYMANPAŞA ÖĞRENCİ YURDU	Tekirdağ	Süleymanpaşa	Kız	—
SÜREYYA SÜLÜN HANIM ÖĞRENCİ YURDU	Iğdır	Iğdır/Merkez	Kız	—
SÜTÇÜLER ÖĞRENCİ YURDU	Isparta	Sütçüler	Karma	0(246) 351-24-86
SÜVEYBE ANA ÖĞRENCİ YURDU	Batman	Batman/Merkez	Kız	0(488) 502-44-00
SİLİFKE TAŞUCU ÖĞRENCİ YURDU (YENİ)	Mersin	Silifke	Karma	—
SİMAV ÖĞRENCİ YURDU	Kütahya	Simav	Karma	0(274) 513-95-02
SİNOP YURDU	Sinop	Sinop/Merkez	Kız	0(368) 271-45-38
SİVAS SANCAKTAR ÖĞRENCİ YURDU	Sivas	Sivas/Merkez	Kız	0(346) 219-14-45
SİVEREK ÖĞRENCİ YURDU	Şanlıurfa	Siverek	Karma	0(414) 313-78-07
SİVRİHİSAR ÖĞRENCİ YURDU	Eskişehir	Sivrihisar	Karma	0(222) 711-49-88
SİİRT ERKEK ÖĞRENCİ YURDU	Siirt	Siirt/Merkez	Erkek	—
TACEDDİN VELİ ÖĞRENCİ YURDU	Ankara	Altındağ	Erkek	0(312) 363-41-33
TAHSİN BANGUOĞLU YURDU	Ankara	Çankaya	Erkek	0(312) 287-57-78
TAHİR BÜYÜKKÖRÜKÇÜ ÖĞRENCİ YURDU	Konya	Selçuklu	Erkek	—
TARSUS KIZ ÖĞRENCİ YURDU	Mersin	Tarsus	Kız	0(324) 625-40-90
TARSUS YURDU	Mersin	Tarsus	Erkek	0(324) 614-40-33
TATVAN YURDU	Bitlis	Tatvan	Kız	—
TAVAS ÖĞRENCİ YURDU	Denizli	Tavas	Karma	0(258) 613-41-91
TAYFUR SÖKMEN ÖĞRENCİ YURDU	Hatay	Antakya	Kız	0(326) 245-54-01
TAŞKENT ÖĞRENCİ YURDU	Konya	Taşkent	Karma	—
TECER YURT MÜDÜRLÜĞÜ	Sivas	Sivas/Merkez	Kız	0(346) 217-12-67
TEKİRDAĞ YURDU	Tekirdağ	Süleymanpaşa	Kız	0(282) 293-14-33
TENZİLE ERDOĞAN ÖĞRENCİ YURDU	Rize	Rize/Merkez	Kız	0(464) 253-70-70
TERCAN - M.REFİK ŞİMŞEK YURDU	Erzincan	Tercan	Karma	0(446) 441-31-45
TERMAL ÖĞRENCİ YURDU	Yalova	Termal	Erkek	—
TERME YURDU	Samsun	Terme	Karma	—
TERZİBABA ÖĞRENCİ YURDU	Erzincan	Erzincan/Merkez	Kız	0(446) 236-25-04
TERZİOĞLU KIZ ÖĞRENCİ YURDU	Çanakkale	Çanakkale/Merkez	Kız	—
TOKAT ÖĞRENCİ YURDU	Tokat	Tokat/Merkez	Kız	0(356) 252-17-00
TOKAT İBN-İ KEMAL ÖĞRENCİ YURDU	Tokat	Tokat/Merkez	Kız	0(356) 252-18-05
TOKAT-GAZİOSMANPAŞA YURDU	Tokat	Tokat/Merkez	Erkek	0(356) 214-70-40
TONYA ÖĞRENCİ YURDU	Trabzon	Tonya	Karma	0(462) 881-16-55
TOROSLAR ÖĞRENCİ YURDU	Adana	Sarıçam	Kız	0(322) 502-94-61
TOSYA ÖĞRENCİ YURDU	Kastamonu	Tosya	Kız	—
TRABZON YURDU	Trabzon	Ortahisar	Erkek	0(462) 328-09-30
TRABZON-DOĞU KARADENİZ YURDU	Trabzon	Ortahisar	Kız	0(462) 325-41-41
TUNCELİ YURDU	Tunceli	Tunceli/Merkez	Karma	0(428) 213-24-36
TURGUT REİS ÖĞRENCİ YURDU	Muğla	Menteşe	Erkek	0(252) 502-20-61
TURGUT ÖZAL ÖĞRENCİ YURDU	Samsun	Atakum	Erkek	0(362) 457-57-46
TURGUTLU-SEDAT ÖZCAN YURDU	Manisa	Turgutlu	Erkek	0(236) 312-79-08
TURHAL YURDU	Tokat	Turhal	Karma	0(356) 276-02-19
TÜRKAN HATUN ÖĞRENCİ YURDU	Kırıkkale	Yahşihan	Erkek	—
TÜRKELİ ÖĞRENCİ YURDU MÜDÜRLÜĞÜ	Sinop	Türkeli	Kız	0(368) 671-41-63
TİRE ÖĞRENCİ YURDU MÜDÜRLÜĞÜ	İzmir	Tire	Karma	0(232) 290-24-42
TİREBOLU ÖĞRENCİ YURDU	Giresun	Tirebolu	Karma	0(454) 429-34-65
UKKAŞE ÖĞRENCİ YURDU	Gaziantep	İslahiye	Karma	0(342) 869-10-00
ULU ŞEHİR ÖĞRENCİ YURDU	Bursa	Nilüfer	Kız	0(224) 504-23-07
ULUDAĞ KIZ ÖĞRENCİ YURDU (YENİ)	Bursa	Nilüfer	Kız	0(224) 442-81-30
ULUKIŞLA ÖĞRENCİ YURDU	Niğde	Ulukışla	Karma	—
ULUS YURDU	Ankara	Altındağ	Erkek	0(312) 310-20-90
URLA KIZ ÖĞRENCİ YURDU MÜDÜRLÜĞÜ	İzmir	Urla	Kız	—
URLA YURDU	İzmir	Urla	Erkek	0(232) 765-91-13
UZUN MEHMET ÖĞRENCİ YURDU	Zonguldak	Ereğli/Zonguldak	Karma	0(372) 318-17-16
UZUNKÖPRÜ ÖĞRENCİ YURDU	Edirne	Uzunköprü	Karma	0(284) 518-13-70
UŞAK ERKEK ÖĞRENCİ YURDU	Uşak	Uşak/Merkez	Erkek	0(276) 223-00-74
UŞAK KIZ YURDU	Uşak	Uşak/Merkez	Kız	0(276) 263-40-85
VALİ MUAMMER GÜLER ÖĞRENCİ YURDU	İstanbul	Ataşehir	Kız	0(216) 455-75-71
VALİDEBAĞ ÖĞRENCİ YURDU	İstanbul	Kadıköy	Kız	0(216) 759-81-51
VAN ÖĞRENCİ YURDU	Van	Tuşba	Kız	0(432) 225-15-65
VEYSEL KARANİ ÖĞRENCİ YURDU	Adıyaman	Adıyaman/Merkez	Erkek	0(416) 202-03-07
VEZNECİLER YURDU	İstanbul	Fatih	Kız	0(212) 526-20-10
VEZİRKÖPRÜ ÖĞRENCİ YURDU	Samsun	Vezirköprü	Karma	0(362) 647-10-31
YALOVA YURDU	Yalova	Yalova/Merkez	Erkek	0(226) 814-67-11
YALVAÇ YURDU	Isparta	Yalvaç	Karma	0(246) 441-42-34
YARBAY VECİHİBEY ÖĞRENCİ YURDU	Balıkesir	Bandırma	Kız	0(266) 738-10-96
YAREN ÖĞRENCİ YURDU	Uşak	Uşak/Merkez	Kız	—
YAYLADAĞI ÖĞRENCİ YURDU	Hatay	Yayladağı	Kız	0(326) 471-33-13
YAZIR ÖĞRENCİ YURDU	Konya	Selçuklu	Kız	0(332) 255-34-60
YAĞIBASAN ÖĞRENCİ YURDU MÜDÜRLÜĞÜ	Tokat	Tokat/Merkez	Kız	0(356) 252-18-08
YEDİYAMAN ÖĞRENCİ YURDU	Adıyaman	Adıyaman/Merkez	Erkek	—
YENİMAHALLE ÖĞRENCİ YURDU	Ankara	Yenimahalle	Kız	0(312) 336-00-78
YENİPAZAR YURDU	Aydın	Yenipazar/Aydın	Karma	0(256) 361-47-74
YERKÖY MOLLA HÜSREV ÖĞRENCİ YURDU	Yozgat	Yerköy	Karma	—
YESEVİ ÖĞRENCİ YURDU	Kütahya	Kütahya/Merkez	Erkek	0(274) 265-21-84
YILDIZ ÖĞRENCİ YURDU	Sivas	Sivas/Merkez	Kız	0(346) 217-17-53
YILDIZELİ YURDU	Sivas	Yıldızeli	Karma	0(346) 751-26-61
YILMAZ TURHAN YÜKSEKÖĞRENİM ÖĞRENCİ YURDU	Kayseri	Bünyan	Karma	—
YOMRA ÖĞRENCİ YURDU	Trabzon	Yomra	Kız	0(462) 341-17-58
YOMRA-KANUNİ YURDU	Trabzon	Yomra	Erkek	0(462) 344-10-00
YOZGAT SÜRMELİ ÖĞRENCİ YURDU	Yozgat	Yozgat/Merkez	Kız	0(354) 502-12-10
YOZGAT ÖĞRENCİ YURDU	Yozgat	Yozgat/Merkez	Kız	0(354) 242-10-48
YOZGAT-ESENTEPE ÖGRENCİ YURDU	Yozgat	Yerköy	Erkek	0(354) 212-55-95
YUNUS EMRE YURDU	Ankara	Altındağ	Erkek	0(312) 310-32-43
YUNUS EMRE ÖĞRENCİ YURDU	Eskişehir	Tepebaşı	Kız	0(535) 640-00-89
YUSUF HARPUTİ ÖĞRENCİ YURDU	Bingöl	Bingöl/Merkez	Erkek	—
YÖRÜK ALİ EFE ÖĞRENCİ YURDU	İzmir	Bornova	Erkek	0(232) 388-95-00
ZAHİDÜL KEVSERİ ÖĞRENCİ YURDU	Düzce	Bahçeşehir/Düzce	Kız	—
ZARA ÖĞRENCİ YURDU	Sivas	Zara	Karma	0(346) 816-39-80
ZAĞNOS PAŞA ÖĞRENCİ YURDU	Balıkesir	Bandırma	Erkek	—
ZEYNEP ANA ÖĞRENCİ YURDU	Gümüşhane	Gümüşhane/Merkez	Kız	0(456) 233-70-48
ZONGULDAK YURDU	Zonguldak	Zonguldak/Merkez	Erkek	0(372) 257-34-25
ZONGULDAK-KARAELMAS YURDU	Zonguldak	Zonguldak/Merkez	Kız	0(372) 257-60-83
ZÜBEYDE HANIM YURDU(ANKARA)	Ankara	Yenimahalle	Kız	0(312) 212-00-75
ZÜBEYDE HANIM ÖĞRENCİ YURDU (YENİ)	İzmir	Bornova	Kız	0(232) 502-84-81
ZİLE YURDU	Tokat	Zile	Karma	0(356) 318-07-83
ÇAKABEY ÖĞRENCİ YURDU	İzmir	Buca	Erkek	0(232) 453-24-24
ÇAMLIK ÖĞRENCİ YURDU	Yozgat	Yozgat/Merkez	Erkek	—
ÇAN ÖĞRENCİ YURDU	Çanakkale	Çan	Erkek	0(286) 416-05-13
ÇANAKKALE KIZ ÖĞRENCİ YURDU	Çanakkale	Çanakkale/Merkez	Kız	0(286) 220-00-85
ÇANKIRI YURDU	Çankırı	Çankırı/Merkez	Kız	—
ÇARŞAMBA ERKEK ÖĞRENCİ YURDU	Samsun	Çarşamba	Erkek	—
ÇARŞAMBA ÖĞRENCİ YURDU	Samsun	Çarşamba	Kız	—
ÇAY ÖĞRENCİ YURDU	Afyonkarahisar	Çay	Kız	0(272) 632-40-22
ÇAYCUMA YURDU	Zonguldak	Çaycuma	Karma	—
ÇAYELİ-A.MESUT YILMAZ YURDU	Rize	Çayeli	Karma	0(464) 532-14-28
ÇAYIRLI DAVUT SULARİ ÖĞRENCİ YURDU	Erzincan	Çayırlı	Karma	0(446) 311-22-02
ÇEMBERLİTAŞ YURDU	İstanbul	Fatih	Kız	0(212) 516-32-50
ÇEMİŞGEZEK ÖĞRENCİ YURDU	Tunceli	Çemişgezek	Kız	—
ÇEŞME YURDU	İzmir	Çeşme	Karma	0(232) 724-92-76
ÇINARCIK ÖĞRENCİ YURDU	Yalova	Çınarcık	Kız	0(226) 245-20-66
ÇORLU ERKEK ÖĞRENCİ YURDU	Tekirdağ	Çorlu	Erkek	0(282) 650-18-15
ÇORLU ÖĞRENCİ YURDU	Tekirdağ	Çorlu	Kız	—
ÇORUH ÖĞRENCİ YURDU	Artvin	Artvin/Merkez	Kız	0(466) 238-24-20
ÇUKUROVA ÖĞRENCİ YURDU	Adana	Sarıçam	Erkek	—
ÇUMRA YURDU	Konya	Çumra	Karma	0(332) 447-57-57
ÇİVRİL ÖĞRENCİ YURDU	Denizli	Çivril	Karma	0(258) 713-19-61
ÇİĞLİ ÖĞRENCİ YURDU	İzmir	Çiğli	Erkek	0(232) 329-58-49
ÖMER BİLGİNOĞLU ÖĞRENCİ YURDU	Elazığ	Elazığ/Merkez	Erkek	—
ÖMER HALİSDEMİR ÖĞRENCİ YURDU	Niğde	Niğde/Merkez	Erkek	0(388) 225-25-12
ÖZALP YURDU	Van	Özalp	Karma	—
ÜMMÜ EYÜP ÖĞRENCİ YURDU	Ağrı	Ağrı/Merkez	Kız	0(472) 215-53-80
ÜMMÜ GÜLSÜM ÖĞRENCİ YURDU	Gaziantep	Şehitkamil	Erkek	—
ÜMMÜ HATUN ÖĞRENCİ YURDU	Kırıkkale	Yahşihan	Kız	0(318) 310-10-58
ÜNYE YURDU	Ordu	Ünye	Karma	0(452) 324-29-32
ÜRGÜP ÖĞRENCİ YURDU	Nevşehir	Ürgüp	Kız	0(384) 341-20-43
ÜZÜMLÜ CİMİNLİ BABA ÖĞRENCİ YURDU	Erzincan	Üzümlü	Karma	0(446) 411-20-44
İBN-İ HALDUN ÖĞRENCİ YURDU	Denizli	Pamukkale	Erkek	0(258) 266-60-91
İBN-İ RÜŞD ÖĞRENCİ YURDU	Denizli	Pamukkale	Erkek	0(258) 213-49-75
İBN-İ SİNA ÖĞRENCİ YURDU	Eskişehir	Tepebaşı	Kız	0(222) 290-28-77
İBRAHİM TENNURİ ÖĞRENCİ YURDU	Kayseri	Melikgazi	Erkek	0(352) 271-16-20
İDİL ÖĞRENCİ YURDU	Şırnak	İdil	Karma	—
İLHAN AKINCI ÖĞRENCİ YURDU	Malatya	Battalgazi	Erkek	0(422) 503-00-71
İLKADIM YURDU	Samsun	Atakum	Kız	0(362) 437-76-96
İLİÇ DURSUN YILDIRIM YURT MÜDÜRLÜĞÜ	Erzincan	İliç	Karma	0(446) 711-24-36
İPEKYOLU ÖĞRENCİ YURDU	Kars	Kars/Merkez	Erkek	0(474) 242-66-33
İPSALA ÖĞRENCİ YURDU	Edirne	İpsala	Karma	—
İSABEYLİ YURDU(NAZİLLİ)	Aydın	Nazilli	Kız	0(256) 347-73-96
İSHAK PAŞA ÖĞRENCİ YURDU	Ağrı	Ağrı/Merkez	Erkek	0(472) 215-24-68
İSKENDERUN YURDU	Hatay	İskenderun	Erkek	0(326) 615-25-15
İSKİLİP ÖĞRENCİ YURDU	Çorum	İskilip	Kız	0(364) 511-01-05
İSKİLİPLİ ATIF HOCA ÖĞRENCİ YURDU	Çorum	Çorum/Merkez	Kız	0(364) 333-08-22
İSLAMOĞLU ÖĞRENCİ YURDU	Kütahya	Şaphane	Karma	0(274) 551-00-73
İSMAİL FAKİRULLAH ÖĞRENCİ YURDU	Siirt	Siirt/Merkez	Erkek	—
İSMAİL NECATİ EFENDİ ÖĞRENCİ YURDU	Karabük	Safranbolu	Erkek	0(370) 741-32-77
İSMİNAZ KANCA ÖĞRENCİ YURDU	Trabzon	Sürmene	Erkek	0(462) 746-49-71
İSPİR-VİLAYETLER HİZ.BİRLİĞİ ÖĞRENCİ YURDU	Erzurum	İspir	Karma	0(442) 451-34-60
İSTANBUL- GÜLBAHAR HATUN ÖĞRENCİ YURDU	İstanbul	Güngören	Kız	0(212) 830-82-27
İSTANBUL-BİRUNİ ÖĞRENCİ YURDU	İstanbul	Küçükçekmece	Erkek	0(212) 579-87-29
İYAZ BİN GANEM ÖĞRENCİ YURDU MÜDÜRLÜĞÜ	Diyarbakır	Sur	Kız	0(412) 502-57-44
İYİMAYA ÖĞRENCİ YURDU	İstanbul	Sancaktepe	Kız	0(216) 311-15-23
İZMİR EFELER YURDU	İzmir	Buca	Erkek	—
İZMİR GAZİEMİR ÖĞRENCİ YURDU	İzmir	Gaziemir	Kız	0(232) 274-70-09
İZMİR KIZ ÖĞRENCİ YURDU	İzmir	Buca	Kız	0(232) 440-10-66
İZZEDDİN KEYKAVUS ÖĞRENCİ YURDU	Sivas	Sivas/Merkez	Erkek	0(346) 219-10-80
İZZETPAŞA ÖĞRENCİ YURDU	Elazığ	Elazığ/Merkez	Kız	0(424) 502-04-55
ŞAH SULTAN ÖĞRENCİ YURDU	Artvin	Artvin/Merkez	Erkek	0(466) 212-76-70
ŞAHİDİ KIZ YURDU	Muğla	Menteşe	Kız	0(252) 223-86-12
ŞAHİNBEY ÖĞRENCİ YURDU	Gaziantep	Şehitkamil	Kız	0(342) 503-68-84
ŞANLIURFA YURDU	Şanlıurfa	Haliliye	Kız	0(414) 312-99-52
ŞARKIŞLA MUHSİN YAZICIOĞLU ÖĞRENCİ YURDU	Sivas	Şarkışla	Karma	0(346) 512-20-32
ŞARKİKARAAĞAÇ ÖĞRENCİ YURDU	Isparta	Şarkikaraağaç	Karma	0(246) 411-39-60
ŞAVŞAT ÖĞRENCİ YURDU	Artvin	Şavşat	Kız	0(466) 517-10-24
ŞEBİNKARAHİSAR ÖĞRENCİ YURDU	Giresun	Şebinkarahisar	Karma	—
ŞEHZADE KORKUT ÖĞRENCİ YURDU	Antalya	Konyaaltı	Erkek	0(242) 227-30-54
ŞEHİT BURAK TOK ÖĞRENCİ YURDU	Gümüşhane	Köse	Karma	—
ŞEHİTKAMİL ÖĞRENCİ YURDU	Gaziantep	Şehitkamil	Kız	0(342) 503-66-79
ŞEMS-İ ANA ÖĞRENCİ YURDU MÜDÜRLÜĞÜ	Muğla	Menteşe	Kız	0(252) 502-17-42
ŞEMS-İ BİTLİSİ ÖĞRENCİ YURDU	Bitlis	Bitlis/Merkez	Kız	0(434) 502-42-41
ŞEMSEDDİN SAMİ ÖĞRENCİ YURDU	Kırklareli	Kırklareli/Merkez	Erkek	0(288) 214-41-80
ŞEMSEDDİN SİVÂSÎ ÖĞRENCİ YURDU	Sivas	Sivas/Merkez	Erkek	0(346) 219-11-80
ŞEREF TAŞLIOVA ÖĞRENCİ YURDU	Kars	Kars/Merkez	Kız	0(474) 225-18-45
ŞEREFLİKOÇHİSAR YURDU	Ankara	Şereflikoçhisar	Karma	0(312) 687-95-53
ŞERİFE GELİN ÖĞRENCİ YURDU	Kocaeli	İzmit	Kız	0(262) 359-10-77
ŞEYH EDEBALI ÖĞRENCİ YURDU	Bilecik	Bilecik/Merkez	Erkek	0(228) 212-04-41
ŞEYH ŞABAN-I VELİ ÖĞRENCİ YURDU	Kastamonu	Kastamonu/Merkez	Erkek	—
ŞIRNAK YURDU	Şırnak	Şırnak/Merkez	Erkek	—
ŞUHUT ÖĞRENCİ YURDU	Afyonkarahisar	Şuhut	Karma	—
ŞULE YÜKSEL ŞENLER ÖĞRENCİ YURDU	Kayseri	Talas	Kız	0(352) 503-12-70
ŞİFA HATUN ÖĞRENCİ YURDU	Şanlıurfa	Birecik	Karma	0(414) 502-24-55
ŞİRİN HATUN ÖĞRENCİ YURDU	Bursa	İnegöl	Kız	—
ŞİŞLİ ERKEK ÖĞRENCİ YURDU	İstanbul	Şişli	Erkek	0(212) 222-55-10
